Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,Hit_Score,Walk_Score,Bats_Score,Bases_Score
"Campusano, Luis",51.2,69.1,85.4,31.8,66.0,42.4,35.1,50.9,20.5,8.4,80.2,237,45.1,24.9,22.4,7.6,38.4,42.6,19.0,2.1,38.0,26.6,23.2,4.6,27.4,1025,237,11,4.6,34.2,87.7,9.9,0.242,0.35,0.289,0.303,,-0.194,-0.226,-0.227,-1.105
"Ahmed, Nick",55.5,69.6,76.5,36.1,64.0,43.2,42.5,54.8,26.0,10.2,75.6,165,45.5,21.2,21.8,11.5,38.2,43.0,18.8,9.7,33.9,26.1,21.2,6.1,29.7,851,165,5,3.0,23.0,84.9,13.4,0.226,0.32,0.259,0.309,,-2.008,-0.229,-0.229,-2.447
"Locklear, Tyler",49.0,68.8,78.8,34.0,32.4,43.4,49.0,51.0,37.0,5.1,90.0,25,40.0,24.0,12.0,24.0,48.0,28.0,24.0,4.0,28.0,36.0,16.0,8.0,28.0,196,25,2,8.0,44.0,87.2,21.2,0.148,0.271,0.221,0.322,,-1.064,-0.231,-0.232,0.116
"Raley, Luke",50.6,75.2,76.2,27.9,34.7,44.0,40.0,51.8,34.5,7.9,86.7,273,47.3,24.5,21.2,7.0,44.0,34.8,21.2,7.0,33.0,22.0,18.3,8.1,31.5,1713,273,30,11.0,41.8,90.1,13.5,0.22,0.418,0.316,0.406,,1.347,-0.222,-0.222,2.756
"Urías, Luis",49.8,65.8,80.4,28.2,67.2,45.1,28.4,46.9,23.1,10.4,70.2,60,33.3,28.3,23.3,15.0,45.0,43.3,11.7,6.7,23.3,30.0,21.7,6.7,43.3,452,60,7,11.7,35.0,87.1,19.2,0.206,0.4,0.318,0.402,,-1.059,-0.23,-0.23,1.427
"Rojas, Josh",52.4,66.9,83.2,22.0,47.2,46.1,33.5,45.6,24.4,9.0,81.9,317,40.4,29.0,24.3,6.3,38.2,37.5,24.3,5.0,25.2,29.7,26.2,7.9,35.6,1901,317,18,5.7,38.2,88.2,15.5,0.223,0.35,0.293,0.333,,-0.595,-0.22,-0.221,-1.172
"Turner, Justin",50.1,65.7,88.5,25.1,68.7,43.3,20.9,45.4,17.0,7.3,77.5,372,32.5,30.6,29.8,7.0,38.7,36.8,24.5,3.2,23.9,32.0,29.6,6.7,40.1,2320,372,17,4.6,32.5,87.1,17.8,0.252,0.383,0.328,0.343,,-1.028,-0.218,-0.218,-2.031
"Haggerty, Sam",47.5,75.0,76.2,22.6,57.1,40.7,37.5,47.5,28.6,5.1,100.0,11,54.5,0.0,27.3,18.2,45.5,27.3,27.3,9.1,36.4,27.3,27.3,0.0,27.3,59,11,0,0.0,18.2,84.3,5.7,0.169,0.197,0.195,0.22,,-5.413,-0.232,-0.233,-8.25
"Rivas, Leo",52.8,56.6,81.1,14.9,42.3,38.5,14.0,36.9,25.5,10.2,76.3,51,41.2,13.7,39.2,5.9,45.1,41.2,13.7,11.8,21.6,23.5,39.2,2.0,45.1,371,51,1,2.0,27.5,87.2,12.6,0.244,0.312,0.301,0.361,,-1.875,-0.23,-0.231,-4.063
"Bliss, Ryan",54.1,77.9,69.7,21.0,36.0,41.3,54.9,51.7,32.8,5.0,92.3,43,46.5,25.6,23.3,4.7,30.2,44.2,25.6,14.0,27.9,16.3,11.6,16.3,37.2,259,43,4,9.3,46.5,88.5,6.8,0.217,0.426,0.31,0.424,,0.988,-0.231,-0.231,1.82
