Player,AB,H,2B,3B,HR,BB,,TB,Runs
Kameron Misner,15,1,0,0,0,0,,1,0.0
Richie Palacios,264,59,8,1,5,45,,84,28.0
Jonathan Aranda,128,30,7,0,6,12,,55,16.0
Junior Caminero,165,41,9,1,6,11,,70,21.0
José Caballero,441,100,24,1,9,27,,153,42.0
Josh Lowe,353,85,19,2,10,32,,138,42.0
Jose Siri,402,75,16,1,18,31,,147,36.0
Austin Shenton,42,9,5,0,1,8,,17,6.0
Dylan Carlson,235,49,7,0,3,22,,65,18.0
Taylor Walls,218,40,5,3,1,31,,54,15.0
Christopher Morel,535,105,11,3,21,61,,185,52.0
René Pinto,42,9,3,0,2,4,,18,5.0
Curtis Mead,122,29,3,0,1,6,,35,10.0
Jonny DeLuca,332,72,12,4,6,24,,110,30.0
Yandy Díaz,563,158,31,1,14,50,,233,79.0
Wyatt Langford,499,126,25,4,16,51,,207,67.0
Jonathan Ornelas,37,8,2,0,0,2,,10,3.0
Justin Foscue,42,2,1,0,0,2,,3,0.0
Leody Taveras,480,110,17,3,12,42,,169,49.0
Adolis García,580,130,27,0,25,45,,232,65.0
Dustin Harris,6,2,1,0,1,1,,6,3.0
Josh Jung,178,47,5,1,7,8,,75,22.0
Ezequiel Duran,268,66,11,0,3,14,,86,24.0
Matt Duffy,7,2,0,0,0,2,,2,1.0
Nathaniel Lowe,486,129,16,1,16,71,,195,70.0
Corey Seager,475,132,21,0,30,53,,243,85.0
Sam Huff,3,0,0,0,0,1,,0,0.0
Sandro Fabian,5,0,0,0,0,0,,0,0.0
Josh Smith,523,135,30,1,13,46,,206,66.0
Marcus Semien,650,154,27,2,23,64,,254,78.0
Jonah Heim,459,101,12,1,13,26,,154,40.0
Carson Kelly,281,67,9,1,9,25,,105,32.0
Evan Carter,144,27,6,2,5,15,,52,14.0
Travis Jankowski,190,38,5,0,1,12,,46,11.0
Steward Berroa,37,7,1,0,0,8,,8,3.0
Spencer Horwitz,328,87,19,0,12,42,,142,50.0
Luis De Los Santos,29,5,2,0,0,2,,7,2.0
Bo Bichette,311,70,16,1,4,20,,100,27.0
Jonatan Clase,61,15,2,0,1,3,,20,6.0
Will Wagner,82,25,6,0,2,4,,37,12.0
Nathan Lukes,76,23,4,2,1,10,,34,13.0
Alejandro Kirk,340,86,19,1,5,35,,122,39.0
Orelvis Martinez,3,1,0,0,0,0,,1,0.0
George Springer,545,120,19,3,19,60,,202,60.0
Vladimir Guerrero Jr.,616,199,44,1,30,72,,335,132.0
Davis Schneider,397,76,19,1,13,47,,136,38.0
Ernie Clement,434,114,21,3,12,11,,177,50.0
Daulton Varsho,459,98,21,7,18,48,,187,54.0
Joey Loperfido,243,52,13,4,4,13,,85,22.0
Leo Jiménez,179,41,11,0,4,12,,64,18.0
Tyler Heineman,12,1,0,0,0,3,,1,0.0
Addison Barger,208,41,11,0,7,14,,73,18.0
Trevor Larnach,355,92,17,0,15,40,,154,51.0
Michael Helman,10,3,2,0,0,0,,5,2.0
DaShawn Keirsey Jr.,13,2,0,0,1,0,,5,1.0
Carlos Correa,319,99,20,2,14,40,,165,64.0
Ryan Jeffers,412,93,22,0,21,32,,178,50.0
Willi Castro,558,138,31,5,12,51,,215,67.0
Max Kepler,368,93,21,1,8,22,,140,41.0
Royce Lewis,292,68,16,0,16,28,,132,40.0
Jair Camargo,6,0,0,0,0,1,,0,0.0
Carlos Santana,521,124,26,0,23,65,,219,71.0
Manuel Margot,315,75,17,1,4,21,,106,30.0
Christian Vázquez,294,65,10,0,7,11,,96,24.0
Austin Martin,233,59,18,1,1,20,,82,26.0
Kyle Farmer,215,46,13,1,5,19,,76,21.0
Byron Buxton,355,99,27,3,18,20,,186,59.0
Brooks Lee,172,38,6,1,3,11,,55,15.0
Alex Kirilloff,159,32,8,3,5,15,,61,16.0
Matt Wallner,220,57,17,1,13,24,,115,38.0
Edouard Julien,266,53,9,0,8,33,,86,25.0
Jose Miranda,401,114,28,4,9,18,,177,56.0
Weston Wilson,88,25,7,1,3,8,,43,15.0
Austin Hays,235,60,18,0,5,9,,93,26.0
Kody Clemens,114,25,9,1,5,5,,51,13.0
Nick Castellanos,606,154,30,4,23,41,,261,79.0
Cal Stevenson,24,6,3,0,0,3,,9,3.0
Alec Bohm,554,155,44,2,15,40,,248,81.0
Brandon Marsh,418,104,17,3,16,50,,175,58.0
Rafael Marchán,51,15,4,0,3,3,,28,9.0
J.T. Realmuto,380,101,18,1,14,27,,163,51.0
Kyle Schwarber,573,142,22,0,38,106,,278,102.0
Johan Rojas,338,82,12,3,3,13,,109,30.0
Edmundo Sosa,249,64,12,4,7,13,,105,31.0
Bryson Stott,506,124,19,2,11,53,,180,57.0
Buddy Kennedy,21,4,1,0,1,4,,8,3.0
Trea Turner,505,149,25,0,21,27,,237,78.0
Garrett Stubbs,164,34,4,1,1,17,,43,12.0
Bryce Harper,550,157,42,0,30,76,,289,108.0
Ronald Acuña Jr.,192,48,8,1,4,27,,70,24.0
Sean Murphy,233,45,5,1,10,27,,82,23.0
Chadwick Tromp,52,13,6,0,0,1,,19,5.0
Cavan Biggio,188,37,5,0,5,24,,57,16.0
Orlando Arcia,551,120,24,0,17,41,,195,53.0
Adam Duvall,303,55,10,0,11,21,,98,23.0
Marcell Ozuna,606,183,31,0,39,74,,331,125.0
Luke Williams,46,9,3,0,0,4,,12,3.0
Matt Olson,600,148,37,1,29,71,,274,89.0
Nacho Alvarez Jr.,30,3,0,0,0,0,,3,0.0
Ozzie Albies,399,100,29,1,10,27,,161,48.0
Jarred Kelenic,412,95,18,2,15,32,,162,46.0
Whit Merrifield,293,65,9,3,4,35,,92,28.0
Travis d'Arnaud,307,73,16,0,15,24,,134,39.0
Michael Harris II,440,116,14,3,16,23,,184,55.0
Eli White,39,11,1,1,1,1,,17,5.0
Gio Urshela,432,108,19,1,9,23,,156,45.0
Austin Riley,425,109,26,2,19,37,,196,62.0
Ramón Laureano,286,74,16,1,11,15,,125,37.0
Jorge Soler,493,119,34,1,21,68,,218,73.0
Lenyn Sosa,351,89,13,0,8,12,,126,35.0
Andrew Benintendi,477,109,20,0,20,41,,189,55.0
Jacob Amaya,68,12,1,0,0,4,,13,3.0
Korey Lee,377,79,14,1,12,17,,131,32.0
Corey Julks,173,37,7,0,3,15,,53,15.0
Braden Shewmake,64,8,2,0,1,1,,13,2.0
Bryan Ramos,99,20,4,0,3,7,,33,8.0
Luis Robert Jr.,393,88,19,0,14,28,,149,41.0
Nicky Lopez,398,96,12,3,1,37,,117,36.0
Miguel Vargas,206,31,7,0,5,25,,53,13.0
Yoán Moncada,40,11,3,1,0,5,,16,6.0
Andrew Vaughn,570,140,30,1,19,38,,229,67.0
Dominic Fletcher,223,46,8,0,1,11,,57,14.0
Gavin Sheets,451,105,24,1,10,43,,161,48.0
Brooks Baldwin,114,24,6,0,2,6,,36,9.0
Oscar Colás,33,9,0,0,0,4,,9,3.0
Chuckie Robinson,70,9,0,0,0,5,,9,2.0
Javier Sanoja,35,8,2,0,0,1,,10,2.0
Jhonny Pereda,39,9,0,0,0,0,,9,2.0
Graham Pauley,32,4,0,0,2,0,,10,1.0
Xavier Edwards,265,87,12,5,1,33,,112,45.0
Kyle Stowers,192,40,11,2,3,13,,64,17.0
Otto Lopez,403,109,23,1,6,25,,152,48.0
Jake Burger,535,134,23,1,29,31,,246,72.0
Vidal Bruján,248,55,14,2,2,25,,79,23.0
Jonah Bride,232,64,10,0,11,30,,107,38.0
Dane Myers,95,25,6,1,3,8,,42,13.0
Derek Hill,162,39,4,2,7,5,,68,18.0
Connor Norby,178,42,9,0,9,15,,78,23.0
