Player,AB,H,2B,3B,HR,BB,,TB,Runs,TeamID
"Guerrero Jr., Vladimir",616,199,44,1,30,72,,335,132.0,141
"De Los Santos, Luis",29,5,2,0,0,2,,7,2.0,141
"Kirk, Alejandro",340,86,19,1,5,35,,122,39.0,141
"Berroa, Steward",37,7,1,0,0,8,,8,3.0,141
"Clase, Jonatan",61,15,2,0,1,3,,20,6.0,141
"Wagner, Will",82,25,6,0,2,4,,37,12.0,141
"Martinez, Orelvis",3,1,0,0,0,0,,1,0.0,141
"Lukes, Nathan",76,23,4,2,1,10,,34,13.0,141
"Bichette, Bo",311,70,16,1,4,20,,100,27.0,141
"Horwitz, Spencer",328,87,19,0,12,42,,142,50.0,141
"Varsho, Daulton",459,98,21,7,18,48,,187,54.0,141
"Barger, Addison",208,41,11,0,7,14,,73,18.0,141
"Springer, George",545,120,19,3,19,60,,202,60.0,141
"Margot, Manuel",315,75,17,1,4,21,,106,30.0,142
"Wallner, Matt",220,57,17,1,13,24,,115,38.0,142
"Correa, Carlos",319,99,20,2,14,40,,165,64.0,142
