Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,Season
Ronald Acuña Jr.,28.0,205,67,4,0,ATLANTA,2023
Austin Riley,28.1,187,70,2,1,ATLANTA,2023
Luke Williams,27.4,291,53,3,0,ATLANTA,2023
Sean Murphy,26.0,510,17,0,0,ATLANTA,2023
Michael Harris II,28.8,81,87,12,3,ATLANTA,2023
Ramón Urías,26.7,405,34,2,0,BALTIMORE,2023
Jorge Mateo,30.1,7,99,14,1,BALTIMORE,2023
Cedric Mullins,28.0,210,66,13,3,BALTIMORE,2023
Ryan O'Hearn,27.7,246,60,3,1,BALTIMORE,2023
Ryan Mountcastle,28.2,165,73,1,0,BALTIMORE,2023
Adley Rutschman,27.0,367,40,0,0,BALTIMORE,2023
Jordan Westburg,28.9,73,88,1,2,BALTIMORE,2023
Heston Kjerstad,27.9,223,64,1,0,BALTIMORE,2023
Colton Cowser,27.9,221,64,3,0,BALTIMORE,2023
Gunnar Henderson,28.8,87,86,10,3,BALTIMORE,2023
Trevor Story,28.8,86,86,16,0,BOSTON,2023
Rob Refsnyder,27.1,361,41,3,0,BOSTON,2023
Rafael Devers,26.0,502,18,1,1,BOSTON,2023
Connor Wong,28.3,149,76,1,1,BOSTON,2023
David Hamilton,29.2,49,92,15,3,BOSTON,2023
Triston Casas,24.9,578,6,0,0,BOSTON,2023
Wilyer Abreu,26.7,399,35,5,2,BOSTON,2023
Ceddanne Rafaela,28.7,94,85,13,2,BOSTON,2023
Jarren Duran,29.5,25,96,16,5,BOSTON,2023
Masataka Yoshida,26.2,480,22,1,0,BOSTON,2023
Dansby Swanson,28.4,145,77,7,3,CHI-CUBS,2023
Nico Hoerner,28.5,124,80,16,3,CHI-CUBS,2023
Ian Happ,27.7,244,60,4,1,CHI-CUBS,2023
Miguel Amaya,26.0,503,18,0,0,CHI-CUBS,2023
Seiya Suzuki,28.5,129,79,2,2,CHI-CUBS,2023
Pete Crow-Armstrong,29.9,14,98,27,4,CHI-CUBS,2023
Jake Fraley,28.0,198,68,4,2,CINCINNATI,2023
Tyler Stephenson,26.9,381,38,0,1,CINCINNATI,2023
Will Benson,28.8,75,88,1,2,CINCINNATI,2023
Spencer Steer,28.4,141,77,6,1,CINCINNATI,2023
TJ Friedl,28.3,158,74,10,3,CINCINNATI,2023
Matt McLain,29.0,61,90,13,0,CINCINNATI,2023
Noelvi Marte,29.1,55,91,5,1,CINCINNATI,2023
Elly De La Cruz,30.5,1,100,25,6,CINCINNATI,2023
Christian Encarnacion-Strand,27.6,273,56,0,2,CINCINNATI,2023
José Ramírez,27.8,235,62,29,5,CLEVELAND,2023
